City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Dedham,12/3/2020,760,93,24.3,Higher,28833,3058,100,3.27%,Higher
Deerfield,12/3/2020,38,6,8.1,No Change,14756,858,6,0.70%,Higher
Dennis,12/3/2020,166,27,14.7,Higher,7464,873,28,3.21%,Higher
Dighton,12/3/2020,209,41,36.9,Lower,5194,594,49,8.25%,Lower
Douglas,12/3/2020,158,31,23.3,Lower,5694,691,36,5.21%,Lower
Dover,12/3/2020,68,20,27.8,Higher,5450,727,20,2.75%,Higher
Dracut,12/3/2020,1125,260,57.3,Higher,27322,3364,280,8.32%,Higher
Dudley,12/3/2020,255,54,30.9,Lower,24939,2001,60,3.00%,Higher
Dunstable,12/3/2020,49,15,32.2,No Change,2108,266,15,5.64%,Higher
Duxbury,12/3/2020,248,33,15.6,Higher,12485,1491,35,2.35%,No Change
East Bridgewater,12/3/2020,335,46,22.1,Higher,9194,1155,50,4.33%,Higher
East Brookfield,12/3/2020,32,11,35.0,Higher,1398,177,11,6.21%,Higher
East Longmeadow,12/3/2020,573,78,32.8,Lower,15973,2155,102,4.73%,Lower
Eastham,12/3/2020,31,6,9.3,Lower,2288,245,6,2.45%,Lower
Easthampton,12/3/2020,256,43,19.0,Higher,24459,2470,47,1.90%,Higher
Easton,12/3/2020,584,96,28.9,Lower,47881,5202,102,1.96%,Higher
Edgartown,12/3/2020,92,33,57.7,Lower,6486,952,34,3.57%,Lower
Egremont,12/3/2020,8,0,0,Lower,645,85,0,0%,Lower
Erving,12/3/2020,15,<5,6.8,Lower,1414,143,3,2.10%,Higher
Essex,12/3/2020,39,6,11.5,Higher,2189,296,6,2.03%,Higher
Everett,12/3/2020,3750,455,66.9,Lower,52675,6589,553,8.39%,Lower
Fairhaven,12/3/2020,606,100,44.6,Lower,16647,2793,127,4.55%,Lower
Fall River,12/3/2020,4973,941,75.3,Lower,83183,10426,1158,11.11%,Lower
Falmouth,12/3/2020,421,78,17.9,Higher,27166,3738,86,2.30%,Higher
