City/Town,Report Date,Total Case Count,Total Case Rate,Total Persons Tested,TotalTested Rate,Percent Positive (Last 14 days),,,,,,,,
Amherst,06/24/2020,94,232.11,1823,4501.47,5.16%,,,,,,,,
Andover,06/24/2020,305,846.87,3373,9365.52,9.04%,,,,,,,,
Aquinnah,06/24/2020,<5,*,37,13955.43,*,,,,,,,,
Arlington,06/24/2020,304,663.63,3733,8149.07,8.14%,,,,,,,,
Ashburnham,06/24/2020,32,509.56,493,7850.44,6.49%,,,,,,,,
Ashby,06/24/2020,15,433.84,229,6623.33,6.55%,,,,,,,,
Ashfield,06/24/2020,<5,*,79,4606.72,*,,,,,,,,
Ashland,06/24/2020,247,1267.12,1741,8931.51,14.19%,,,,,,,,
Athol,06/24/2020,63,526.53,1243,10388.53,5.07%,,,,,,,,
Attleboro,06/24/2020,654,1413.51,4385,9477.43,14.91%,,,,,,,,
Auburn,06/24/2020,213,1291.50,1738,10538.17,12.26%,,,,,,,,
Avon,06/24/2020,72,1643.58,502,11459.37,14.34%,,,,,,,,
Ayer,06/24/2020,136,1683.17,2075,25680.76,6.55%,,,,,,,,
Barnstable,06/24/2020,362,807.22,3910,8718.83,9.26%,,,,,,,,
Barre,06/24/2020,62,1115.56,451,8114.77,13.75%,,,,,,,,
Becket,06/24/2020,14,777.58,121,6720.55,11.57%,,,,,,,,
Bedford,06/24/2020,271,1819.23,4575,30712.15,5.92%,,,,,,,,
Belchertown,06/24/2020,102,640.59,1017,6387.09,10.03%,,,,,,,,
Bellingham,06/24/2020,125,699.25,1279,7154.70,9.77%,,,,,,,,
Belmont,06/24/2020,230,842.30,2049,7503.80,11.22%,,,,,,,,
Berkley,06/24/2020,70,1032.42,635,9365.55,11.02%,,,,,,,,
Berlin,06/24/2020,20,626.32,256,8016.92,7.81%,,,,,,,,
Bernardston,06/24/2020,6,286.94,164,7843.16,3.66%,,,,,,,,
Beverly,06/24/2020,609,1479.35,4007,9733.61,15.20%,,,,,,,,
Billerica,06/24/2020,539,1236.72,4205,9648.24,12.82%,,,,,,,,
Blackstone,06/24/2020,47,519.66,712,7872.29,6.60%,,,,,,,,
Blandford,06/24/2020,<5,*,56,4610.10,*,,,,,,,,
Bolton,06/24/2020,11,217.71,340,6729.23,3.24%,,,,,,,,
Boston,06/24/2020,13897,1999.66,82575,11881.83,16.83%,,,,,,,,
Bourne,06/24/2020,154,736.14,1821,8704.59,8.46%,,,,,,,,
Boxborough,06/24/2020,25,489.47,372,7283.28,6.72%,,,,,,,,
Boxford,06/24/2020,41,531.28,555,7191.72,7.39%,,,,,,,,
Boylston,06/24/2020,20,445.55,364,8108.95,5.49%,,,,,,,,
Braintree,06/24/2020,812,2063.02,4578,11631.18,17.74%,,,,,,,,
Brewster,06/24/2020,103,1039.11,855,8625.61,12.05%,,,,,,,,
Bridgewater,06/24/2020,359,1262.00,3845,13516.37,9.34%,,,,,,,,
Brimfield,06/24/2020,6,161.06,208,5583.27,2.88%,,,,,,,,
Brockton,06/24/2020,4197,4271.83,16772,17071.04,25.02%,,,,,,,,
Brookfield,06/24/2020,19,518.88,214,5844.26,8.88%,,,,,,,,
Brookline,06/24/2020,386,599.52,4453,6916.27,8.67%,,,,,,,,
Buckland,06/24/2020,8,430.00,24,1290.00,33.33%,,,,,,,,
Burlington,06/24/2020,265,958.63,2497,9032.87,10.61%,,,,,,,,
Cambridge,06/24/2020,986,874.22,17593,15598.58,5.60%,,,,,,,,
Canton,06/24/2020,285,1235.66,2792,12105.10,10.21%,,,,,,,,
Carlisle,06/24/2020,15,314.55,321,6731.32,4.67%,,,,,,,,
Carver,06/24/2020,58,476.34,943,7744.58,6.15%,,,,,,,,
Charlemont,06/24/2020,<5,*,83,6967.46,*,,,,,,,,
Charlton,06/24/2020,75,532.97,1277,9074.68,5.87%,,,,,,,,
Chatham,06/24/2020,18,307.37,556,9494.31,3.24%,,,,,,,,
Chelmsford,06/24/2020,333,925.47,4178,11611.49,7.97%,,,,,,,,
Chelsea,06/24/2020,2907,7718.12,8102,21510.92,35.88%,,,,,,,,
Cheshire,06/24/2020,<5,*,208,6976.60,*,,,,,,,,
Chester,06/24/2020,<5,*,80,5894.80,*,,,,,,,,
Chesterfield,06/24/2020,<5,*,67,5474.60,*,,,,,,,,
Chicopee,06/24/2020,433,759.45,4827,8466.19,8.97%,,,,,,,,
Chilmark,06/24/2020,<5,*,191,24683.82,*,,,,,,,,
Clarksburg,06/24/2020,7,415.82,84,4989.89,8.33%,,,,,,,,
Clinton,06/24/2020,245,1740.65,1683,11957.17,14.56%,,,,,,,,
Cohasset,06/24/2020,25,337.86,501,6770.70,4.99%,,,,,,,,
Colrain,06/24/2020,<5,*,93,5791.15,*,,,,,,,,
Concord,06/24/2020,173,923.90,2581,13783.74,6.70%,,,,,,,,
Conway,06/24/2020,<5,*,126,6499.18,*,,,,,,,,
Cummington,06/24/2020,<5,*,63,7916.43,*,,,,,,,,
Dalton,06/24/2020,13,199.32,544,8340.82,2.39%,,,,,,,,
Danvers,06/24/2020,725,2538.89,4151,14536.44,17.47%,,,,,,,,
Dartmouth,06/24/2020,386,1048.36,4084,11091.97,9.45%,,,,,,,,
Dedham,06/24/2020,399,1470.98,2967,10938.32,13.45%,,,,,,,,
Deerfield,06/24/2020,10,187.53,343,6432.19,2.92%,,,,,,,,
Dennis,06/24/2020,96,725.97,1197,9051.99,8.02%,,,,,,,,
Dighton,06/24/2020,67,853.96,687,8756.31,9.75%,,,,,,,,
Douglas,06/24/2020,46,489.38,595,6330.02,7.73%,,,,,,,,
Dover,06/24/2020,18,345.41,319,6121.44,5.64%,,,,,,,,
Dracut,06/24/2020,459,1420.82,4229,13090.73,10.85%,,,,,,,,
Dudley,06/24/2020,93,750.98,772,6233.92,12.05%,,,,,,,,
Dunstable,06/24/2020,10,300.12,232,6962.68,4.31%,,,,,,,,
Duxbury,06/24/2020,111,733.48,1570,10374.45,7.07%,,,,,,,,
East Bridgewater,06/24/2020,177,1199.48,1383,9372.21,12.80%,,City/Town,,Count,Rate,"Total Persons
Tested",Tested Rate,Percent Positivity
East Brookfield,06/24/2020,14,624.60,122,5442.91,11.48%,,,,,,,,
East Longmeadow,06/24/2020,271,1602.17,1661,9819.97,16.32%,,,,,,,,
Eastham,06/24/2020,10,215.22,350,7532.73,2.86%,,,,,,,,
Easthampton,06/24/2020,83,511.92,1272,7845.30,6.53%,,,,,,,,
Easton,06/24/2020,269,1135.10,2309,9743.33,11.65%,,,,,,,,
Edgartown,06/24/2020,7,170.66,625,15237.86,1.12%,,,,,,,,
Egremont,06/24/2020,5,456.27,68,6205.30,7.35%,,,,,,,,
Erving,06/24/2020,6,286.53,132,6303.62,4.55%,,,,,,,,
Essex,06/24/2020,24,645.04,260,6987.96,9.23%,,,,,,,,
Everett,06/24/2020,1747,3599.36,6774,13956.54,25.79%,,,,,,,,
Fairhaven,06/24/2020,240,1497.14,2268,14147.99,10.58%,,,,,,,,
Fall River,06/24/2020,1566,1750.75,12348,13804.80,12.68%,,,,,,,,
Falmouth,06/24/2020,201,643.17,3503,11209.08,5.74%,,,,,,,,
Fitchburg,06/24/2020,786,1864.65,5768,13683.59,13.63%,,,,,,,,
Florida,06/24/2020,<5,*,36,4586.13,*,,,,,,,,
Foxborough,06/24/2020,112,618.35,1467,8099.23,7.63%,,,,,,,,
Framingham,06/24/2020,1720,2309.77,8929,11990.66,19.26%,,,,,,,,
Franklin,06/24/2020,132,390.39,2261,6686.94,5.84%,,,,,,,,
Freetown,06/24/2020,97,1072.03,820,9062.49,11.83%,,,,,,,,
Gardner,06/24/2020,193,965.49,3519,17603.90,5.48%,,,,,,,,
Georgetown,06/24/2020,56,626.83,609,6816.77,9.20%,,,,,,,,
Gill,06/24/2020,<5,*,79,4742.02,*,,,,,,,,
Gloucester,06/24/2020,257,897.82,2225,7772.94,11.55%,,,,,,,,
Goshen,06/24/2020,<5,*,26,2266.17,*,,,,,,,,
Gosnold,06/24/2020,0,0.00,0,0.00,0.00%,,,,,,,,
Grafton,06/24/2020,94,471.31,1377,6904.22,6.83%,,,,,,,,
Granby,06/24/2020,28,455.91,350,5698.92,8.00%,,,,,,,,
Granville,06/24/2020,10,642.55,116,7453.55,8.62%,,,,,,,,
Great Barrington,06/24/2020,72,1059.49,1054,15509.71,6.83%,,,,,,,,
Greenfield,06/24/2020,201,1157.54,1832,10550.31,10.97%,,,,,,,,
Groton,06/24/2020,43,369.24,872,7487.91,4.93%,,,,,,,,
Groveland,06/24/2020,33,482.90,537,7858.16,6.15%,,,,,,,,
Hadley,06/24/2020,43,747.78,596,10364.60,7.21%,,,,,,,,
Halifax,06/24/2020,56,732.85,665,8702.60,8.42%,,,,,,,,
Hamilton,06/24/2020,36,481.67,525,7024.34,6.86%,,,,,,,,
Hampden,06/24/2020,96,1943.01,454,9188.83,21.15%,,,,,,,,
Hancock,06/24/2020,<5,*,14,2154.16,*,,,,,,,,
Hanover,06/24/2020,74,516.59,1107,7727.84,6.68%,,,,,,,,
Hanson,06/24/2020,108,1008.71,932,8704.81,11.59%,,,,,,,,
Hardwick,06/24/2020,9,271.78,171,5163.85,5.26%,,,,,,,,
Harvard,06/24/2020,18,259.84,356,5139.07,5.06%,,,,,,,,
Harwich,06/24/2020,123,979.06,1304,10379.62,9.43%,,,,,,,,
Hatfield,06/24/2020,17,523.54,237,7298.74,7.17%,,,,,,,,
Haverhill,06/24/2020,1217,1848.26,8413,12776.87,14.47%,,,,,,,,
Hawley,06/24/2020,0,0.00,5,1706.94,0.00%,,,,,,,,
Heath,06/24/2020,0,0.00,25,4143.52,0.00%,,,,,,,,
Hingham,06/24/2020,275,1156.06,2270,9542.75,12.11%,,,,,,,,
Hinsdale,06/24/2020,<5,*,177,8322.87,*,,,,,,,,
Holbrook,06/24/2020,193,1708.71,1259,11146.48,15.33%,,,,,,,,
Holden,06/24/2020,119,630.93,1896,10052.54,6.28%,,,,,,,,
Holland,06/24/2020,8,312.46,111,4335.40,7.21%,,,,,,,,
Holliston,06/24/2020,56,406.25,1101,7987.26,5.09%,,,,,,,,
Holyoke,06/24/2020,905,2196.37,5329,12933.08,16.98%,,,,,,,,
Hopedale,06/24/2020,42,739.56,661,11639.33,6.35%,,,,,,,,
Hopkinton,06/24/2020,121,741.67,1397,8562.97,8.66%,,,,,,,,
Hubbardston,06/24/2020,6,128.74,314,6737.17,1.91%,,,,,,,,
Hudson,06/24/2020,191,911.85,1755,8378.49,10.88%,,,,,,,,
Hull,06/24/2020,50,506.25,806,8160.79,6.20%,,,,,,,,
Huntington,06/24/2020,14,633.09,153,6918.79,9.15%,,,,,,,,
Ipswich,06/24/2020,71,528.00,1220,9072.71,5.82%,,,,,,,,
Kingston,06/24/2020,136,1002.70,1327,9783.69,10.25%,,,,,,,,
Lakeville,06/24/2020,59,522.55,895,7926.89,6.59%,,,,,,,,
Lancaster,06/24/2020,100,1167.16,706,8240.15,14.16%,,,,,,,,
Lanesborough,06/24/2020,8,262.63,205,6729.85,3.90%,,,,,,,,
Lawrence,06/24/2020,3515,3986.35,14691,16661.01,23.93%,,,,,,,,
Lee,06/24/2020,19,323.14,545,9269.02,3.49%,,,,,,,,
Leicester,06/24/2020,151,1340.57,1105,9810.12,13.67%,,,,,,,,
Lenox,06/24/2020,13,266.47,755,15475.65,1.72%,,,,,,,,
Leominster,06/24/2020,680,1675.20,5648,13914.05,12.04%,,,,,,,,
Leverett,06/24/2020,<5,*,124,6139.02,*,,,,,,,,
Lexington,06/24/2020,321,942.87,2579,7575.24,12.45%,,,,,,,,
Leyden,06/24/2020,0,0.00,10,1594.79,0.00%,,,,,,,,
Lincoln,06/24/2020,38,439.16,658,7604.33,5.78%,,,,,,,,
Littleton,06/24/2020,98,1008.42,799,8221.69,12.27%,,,,,,,,
Longmeadow,06/24/2020,214,1379.78,1385,8929.87,15.45%,,,,,,,,
Lowell,06/24/2020,2854,2442.27,18501,15831.94,15.43%,,,,,,,,
Ludlow,06/24/2020,124,594.32,1835,8795.04,6.76%,,,,,,,,
Lunenburg,06/24/2020,62,595.76,977,9387.99,6.35%,,,,,,,,
Lynn,06/24/2020,3604,3571.74,14107,13980.72,25.55%,,,,,,,,
Lynnfield,06/24/2020,93,798.35,1125,9657.48,8.27%,,,,,,,,
Malden,06/24/2020,1222,1803.59,7793,11501.95,15.68%,,,,,,,,
Manchester,06/24/2020,20,404.34,290,5862.88,6.90%,,,,,,,,
Mansfield,06/24/2020,163,689.62,1988,8410.85,8.20%,,,,,,,,
Marblehead,06/24/2020,228,1186.41,1975,10277.05,11.54%,,,,,,,,
Marion,06/24/2020,13,280.14,585,12606.38,2.22%,,,,,,,,
Marlborough,06/24/2020,984,2265.24,5461,12571.64,18.02%,,,,,,,,
Marshfield,06/24/2020,168,649.66,2095,8101.46,8.02%,,,,,,,,
Mashpee,06/24/2020,63,409.68,1497,9734.77,4.21%,,,,,,,,
Mattapoisett,06/24/2020,35,605.39,511,8838.65,6.85%,,,,,,,,
Maynard,06/24/2020,70,670.84,967,9267.23,7.24%,,,,,,,,
Medfield,06/24/2020,36,315.78,848,7438.35,4.25%,,,,,,,,
Medford,06/24/2020,1020,1677.23,7225,11880.41,14.12%,,,,,,,,
Medway,06/24/2020,118,902.14,987,7545.91,11.96%,,,,,,,,
Melrose,06/24/2020,242,836.73,2731,9442.58,8.86%,,,,,,,,
Mendon,06/24/2020,30,517.86,408,7042.83,7.35%,,,,,,,,
Merrimac,06/24/2020,36,563.38,544,8513.36,6.62%,,,,,,,,
Methuen,06/24/2020,1004,1874.85,6519,12173.45,15.40%,,,,,,,,
Middleborough,06/24/2020,264,980.62,2654,9858.17,9.95%,,,,,,,,
Middlefield,06/24/2020,0,0.00,12,2645.16,0.00%,,,,,,,,
Middleton,06/24/2020,163,1579.56,1022,9903.76,15.95%,,,,,,,,
Milford,06/24/2020,641,2187.47,3480,11875.82,18.42%,,,,,,,,
Millbury,06/24/2020,210,1537.66,1424,10426.82,14.75%,,,,,,,,
Millis,06/24/2020,48,607.93,636,8055.01,7.55%,,,,,,,,
Millville,06/24/2020,19,535.10,233,6561.98,8.15%,,,,,,,,
Milton,06/24/2020,300,1047.86,2381,8316.53,12.60%,,,,,,,,
Monroe,06/24/2020,0,0.00,6,6039.47,0.00%,,,,,,,,
Monson,06/24/2020,36,426.78,528,6259.44,6.82%,,,,,,,,
Montague,06/24/2020,28,327.54,713,8340.59,3.93%,,,,,,,,
Monterey,06/24/2020,0,0.00,53,5680.26,0.00%,,,,,,,,
Montgomery,06/24/2020,<5,*,12,1355.17,*,,,,,,,,
Mount Washington,06/24/2020,0,0.00,2,1475.43,0.00%,,,,,,,,
Nahant,06/24/2020,40,1222.52,333,10177.51,12.01%,,,,,,,,
Nantucket,06/24/2020,13,114.64,970,8554.17,1.34%,,,,,,,,
Natick,06/24/2020,413,1149.70,3021,8409.76,13.67%,,,,,,,,
Needham,06/24/2020,329,1122.40,2664,9088.37,12.35%,,,,,,,,
New Ashford,06/24/2020,0,0.00,8,4407.64,0.00%,,,,,,,,
New Bedford,06/24/2020,2095,2104.36,13668,13729.08,15.33%,,,,,,,,
New Braintree,06/24/2020,<5,*,54,5100.36,*,,,,,,,,
New Marlborough,06/24/2020,7,457.53,64,4183.12,10.94%,,,,,,,,
New Salem,06/24/2020,<5,*,65,6587.60,*,,,,,,,,
Newbury,06/24/2020,13,195.53,483,7264.60,2.69%,,,,,,,,
Newburyport,06/24/2020,97,544.83,2008,11278.55,4.83%,,,,,,,,
Newton,06/24/2020,767,836.17,8536,9305.82,8.99%,,,,,,,,
Norfolk,06/24/2020,27,218.70,1764,14288.24,1.53%,,,,,,,,
North Adams,06/24/2020,46,352.30,855,6548.19,5.38%,,,,,,,,
North Andover,06/24/2020,340,1124.02,3535,11686.49,9.62%,,,,,,,,
North Attleborough,06/24/2020,252,834.02,2223,7357.27,11.34%,,,,,,,,
North Brookfield,06/24/2020,16,344.33,297,6391.71,5.39%,,,,,,,,
North Reading,06/24/2020,187,1130.95,1269,7674.74,14.74%,,,,,,,,
Northampton,06/24/2020,273,933.93,3120,10673.44,8.75%,,,,,,,,
Northborough,06/24/2020,223,1628.83,1516,11073.12,14.71%,,,,,,,,
Northbridge,06/24/2020,311,1729.29,1837,10214.46,16.93%,,,,,,,,
Northfield,06/24/2020,<5,*,183,6144.54,*,,,,,,,,
Norton,06/24/2020,133,669.59,1613,8120.66,8.25%,,,,,,,,
Norwell,06/24/2020,121,1130.32,891,8323.29,13.58%,,,,,,,,
Norwood,06/24/2020,576,1912.84,3852,12792.14,14.95%,,,,,,,,
Oak Bluffs,06/24/2020,5,96.73,507,9808.58,0.99%,,,,,,,,
Oakham,06/24/2020,7,331.31,127,6010.95,5.51%,,,,,,,,
Orange,06/24/2020,40,490.03,719,8808.26,5.56%,,,,,,,,
Orleans,06/24/2020,16,283.29,462,8179.89,3.46%,,,,,,,,
Otis,06/24/2020,<5,*,94,5059.62,*,,,,,,,,
Oxford,06/24/2020,80,580.44,1039,7538.46,7.70%,,,,,,,,
Palmer,06/24/2020,48,403.55,862,7247.10,5.57%,,,,,,,,
Paxton,06/24/2020,33,666.77,352,7112.16,9.38%,,,,,,,,
Peabody,06/24/2020,976,1750.18,6028,10809.51,16.19%,,,,,,,,
Pelham,06/24/2020,<5,*,87,6977.70,*,,,,,,,,
Pembroke,06/24/2020,92,492.69,1385,7417.06,6.64%,,,,,,,,
Pepperell,06/24/2020,52,423.42,746,6074.46,6.97%,,,,,,,,
Peru,06/24/2020,<5,*,52,6184.56,*,,,,,,,,
Petersham,06/24/2020,7,552.57,110,8683.29,6.36%,,,,,,,,
Phillipston,06/24/2020,15,875.04,133,7758.69,11.28%,,,,,,,,
Pittsfield,06/24/2020,174,392.97,4548,10271.50,3.83%,,,,,,,,
Plainfield,06/24/2020,<5,*,38,6021.17,*,,,,,,,,
Plainville,06/24/2020,64,701.47,731,8012.10,8.76%,,,,,,,,
Plymouth,06/24/2020,598,963.96,6120,9865.23,9.77%,,,,,,,,
Plympton,06/24/2020,11,368.01,208,6958.66,5.29%,,,,,,,,
Princeton,06/24/2020,6,183.92,260,7969.71,2.31%,,,,,,,,
Provincetown,06/24/2020,22,838.46,604,23019.42,3.64%,,,,,,,,
Quincy,06/24/2020,1129,1116.27,9855,9743.89,11.46%,,,,,,,,
Randolph,06/24/2020,942,2752.86,4898,14313.68,19.23%,,,,,,,,
Raynham,06/24/2020,238,1593.35,1638,10966.02,14.53%,,,,,,,,
Reading,06/24/2020,296,1076.99,2488,9052.57,11.90%,,,,,,,,
Rehoboth,06/24/2020,62,491.44,806,6388.77,7.69%,,,,,,,,
Revere,06/24/2020,1748,2869.51,7812,12824.15,22.38%,,,,,,,,
Richmond,06/24/2020,5,376.53,81,6099.84,6.17%,,,,,,,,
Rochester,06/24/2020,34,603.09,465,8248.20,7.31%,,,,,,,,
Rockland,06/24/2020,283,1569.05,1870,10367.90,15.13%,,,,,,,,
Rockport,06/24/2020,82,1251.11,525,8010.14,15.62%,,,,,,,,
Rowe,06/24/2020,0,0.00,20,5841.54,0.00%,,,,,,,,
Rowley,06/24/2020,58,939.49,580,9394.86,10.00%,,,,,,,,
Royalston,06/24/2020,<5,*,77,6039.16,*,,,,,,,,
Russell,06/24/2020,11,582.93,100,5299.33,11.00%,,,,,,,,
Rutland,06/24/2020,53,588.30,664,7370.37,7.98%,,,,,,,,
Salem,06/24/2020,625,1388.32,4833,10735.58,12.93%,,,,,,,,
Salisbury,06/24/2020,52,588.20,733,8291.29,7.09%,,,,,,,,
Sandisfield,06/24/2020,<5,*,136,14559.40,*,,,,,,,,
Sandwich,06/24/2020,94,446.87,1438,6836.31,6.54%,,,,,,,,
Saugus,06/24/2020,556,1956.00,3434,12080.74,16.19%,,,,,,,,
Savoy,06/24/2020,<5,*,34,5377.32,*,,,,,,,,
Scituate,06/24/2020,186,1026.40,1485,8194.68,12.53%,,,,,,,,
Seekonk,06/24/2020,82,585.62,944,6741.74,8.69%,,,,,,,,
Sharon,06/24/2020,154,841.04,1501,8197.38,10.26%,,,,,,,,
Sheffield,06/24/2020,15,485.90,212,6867.45,7.08%,,,,,,,,
Shelburne,06/24/2020,8,432.60,284,15357.38,2.82%,,,,,,,,
Sherborn,06/24/2020,14,364.84,255,6645.24,5.49%,,,,,,,,
Shirley,06/24/2020,177,2099.87,2392,28377.95,7.40%,,,,,,,,
Shrewsbury,06/24/2020,317,804.59,3362,8533.23,9.43%,,,,,,,,
Shutesbury,06/24/2020,<5,*,101,5751.28,*,,,,,,,,
Somerset,06/24/2020,201,1086.04,2428,13118.95,8.28%,,,,,,,,
Somerville,06/24/2020,951,1242.51,12217,15961.92,7.78%,,,,,,,,
South Hadley,06/24/2020,144,795.62,1178,6508.60,12.22%,,,,,,,,
Southampton,06/24/2020,30,499.54,379,6310.82,7.92%,,,,,,,,
Southborough,06/24/2020,41,421.69,743,7641.92,5.52%,,,,,,,,
Southbridge,06/24/2020,163,967.75,1131,6714.86,14.41%,,,,,,,,
Southwick,06/24/2020,51,520.76,684,6984.33,7.46%,,,,,,,,
Spencer,06/24/2020,49,425.34,876,7604.02,5.59%,,,,,,,,
Springfield,06/24/2020,2754,1739.37,16043,10132.44,17.17%,,,,,,,,
Sterling,06/24/2020,120,1524.13,788,10008.45,15.23%,,,,,,,,
Stockbridge,06/24/2020,14,802.96,175,10037.01,8.00%,,,,,,,,
Stoneham,06/24/2020,374,1676.83,2826,12670.40,13.23%,,,,,,,,
Stoughton,06/24/2020,602,2176.62,3525,12745.16,17.08%,,,,,,,,
Stow,06/24/2020,27,374.49,472,6546.69,5.72%,,,,,,,,
Sturbridge,06/24/2020,42,402.22,482,4615.93,8.71%,,,,,,,,
Sudbury,06/24/2020,197,1100.32,1634,9126.51,12.06%,,,,,,,,
Sunderland,06/24/2020,9,236.75,221,5813.52,4.07%,,,,,,,,
Sutton,06/24/2020,50,556.51,619,6889.63,8.08%,,,,,,,,
Swampscott,06/24/2020,128,933.85,1653,12059.83,7.74%,,,,,,,,
Swansea,06/24/2020,133,832.84,1732,10845.68,7.68%,,,,,,,,
Taunton,06/24/2020,964,1683.00,6945,12124.91,13.88%,,,,,,,,
Templeton,06/24/2020,122,1366.03,890,9965.33,13.71%,,,,,,,,
Tewksbury,06/24/2020,582,1890.18,3944,12809.08,14.76%,,,,,,,,
Tisbury,06/24/2020,8,192.25,811,19488.88,0.99%,,,,,,,,
Tolland,06/24/2020,<5,*,9,2132.16,*,,,,,,,,
Topsfield,06/24/2020,114,1950.74,634,10848.85,17.98%,,,,,,,,
Townsend,06/24/2020,35,382.56,672,7345.13,5.21%,,,,,,,,
Truro,06/24/2020,10,506.37,198,10026.19,5.05%,,,,,,,,
Tyngsborough,06/24/2020,92,767.25,1154,9624.01,7.97%,,,,,,,,
Tyringham,06/24/2020,<5,*,23,9160.44,*,,,,,,,,
Upton,06/24/2020,24,265.46,462,5110.05,5.19%,,,,,,,,
Uxbridge,06/24/2020,77,499.57,1022,6630.64,7.53%,,,,,,,,
Wakefield,06/24/2020,313,1159.05,3162,11709.02,9.90%,,,,,,,,
Wales,06/24/2020,<5,*,94,4932.08,*,,,,,,,,
Walpole,06/24/2020,232,895.73,2708,10455.31,8.57%,,,,,,,,
Waltham,06/24/2020,1227,1840.70,6624,9937.07,18.52%,,,,,,,,
Ware,06/24/2020,31,305.76,703,6933.78,4.41%,,,,,,,,
Wareham,06/24/2020,211,880.97,2324,9703.22,9.08%,,,,,,,,
Warren,06/24/2020,22,405.76,269,4961.29,8.18%,,,,,,,,
Warwick,06/24/2020,0,0.00,48,6404.15,0.00%,,,,,,,,
Washington,06/24/2020,<5,*,29,6349.19,*,,,,,,,,
Watertown,06/24/2020,388,1169.64,3325,10023.30,11.67%,,,,,,,,
Wayland,06/24/2020,106,798.07,1205,9072.42,8.80%,,,,,,,,
Webster,06/24/2020,248,1442.61,1976,11494.38,12.55%,,,,,,,,
Wellesley,06/24/2020,232,780.23,2127,7153.27,10.91%,,,,,,,,
Wellfleet,06/24/2020,<5,*,251,9098.50,*,,,,,,,,
Wendell,06/24/2020,0,0.00,60,8214.37,0.00%,,,,,,,,
Wenham,06/24/2020,19,364.96,253,4859.70,7.51%,,,,,,,,
West Boylston,06/24/2020,43,547.76,759,9668.55,5.67%,,,,,,,,
West Bridgewater,06/24/2020,142,1959.29,807,11134.85,17.60%,,,,,,,,
West Brookfield,06/24/2020,19,512.19,439,11834.23,4.33%,,,,,,,,
West Newbury,06/24/2020,10,245.01,282,6909.22,3.55%,,,,,,,,
West Springfield,06/24/2020,362,1228.90,2686,9118.33,13.48%,,,,,,,,
West Stockbridge,06/24/2020,5,418.16,93,7777.87,5.38%,,,,,,,,
West Tisbury,06/24/2020,7,242.81,256,8879.74,2.73%,,,,,,,,
Westborough,06/24/2020,336,1783.23,1958,10391.58,17.16%,,,,,,,,
Westfield,06/24/2020,439,1055.84,3425,8237.45,12.82%,,,,,,,,
Westford,06/24/2020,139,600.71,1908,8245.70,7.29%,,,,,,,,
Westhampton,06/24/2020,6,352.71,77,4526.39,7.79%,,,,,,,,
Westminster,06/24/2020,32,436.43,642,8755.97,4.98%,,,,,,,,
Weston,06/24/2020,108,973.52,1167,10519.44,9.25%,,,,,,,,
Westport,06/24/2020,97,582.80,1482,8904.18,6.55%,,,,,,,,
Westwood,06/24/2020,126,854.85,1339,9084.51,9.41%,,,,,,,,
Weymouth,06/24/2020,715,1275.34,5841,10418.58,12.24%,,,,,,,,
Whately,06/24/2020,5,340.12,46,3129.14,10.87%,,,,,,,,
Whitman,06/24/2020,187,1212.73,1381,8956.02,13.54%,,,,,,,,
Wilbraham,06/24/2020,223,1533.44,1262,8678.05,17.67%,,,,,,,,
Williamsburg,06/24/2020,10,405.37,292,11836.92,3.42%,,,,,,,,
Williamstown,06/24/2020,82,1112.81,720,9771.00,11.39%,,,,,,,,
Wilmington,06/24/2020,327,1341.64,2234,9165.81,14.64%,,,,,,,,
Winchendon,06/24/2020,88,818.86,1067,9928.69,8.25%,,,,,,,,
Winchester,06/24/2020,118,528.59,2085,9339.83,5.66%,,,,,,,,
Windsor,06/24/2020,0,0.00,50,5853.47,0.00%,,,,,,,,
Winthrop,06/24/2020,253,1342.37,1906,10112.91,13.27%,,,,,,,,
Woburn,06/24/2020,621,1496.71,4445,10713.19,13.97%,,,,,,,,
Worcester,06/24/2020,5165,2691.95,27250,14202.43,18.95%,,,,,,,,
Worthington,06/24/2020,0,0.00,69,6507.37,0.00%,,,,,,,,
Wrentham,06/24/2020,191,1694.09,1453,12887.52,13.15%,,,,,,,,
Yarmouth,06/24/2020,113,470.38,2037,8479.28,5.55%,,,,,,,,
Unknown,06/24/2020,259,*,32193,*,*,,,,,,,,
State,06/24/2020,102762,1475.03,790223,11342.72,13.00%,,,,,,,,
Abington,06/17/2020,231,1286.12,1622,9030.70,14.24%,,,,,,,,
Acton,06/17/2020,156,657.33,1618,6817.74,9.64%,,,,,,,,
Acushnet,06/17/2020,86,822.70,915,8753.13,9.40%,,,,,,,,
Adams,06/17/2020,35,422.67,484,5844.92,7.23%,,,,,,,,
Agawam,06/17/2020,450,1573.19,2666,9320.26,16.88%,,,,,,,,
Alford,06/17/2020,<5,*,15,3215.80,*,,,,,,,,
Amesbury,06/17/2020,175,1051.34,1460,8771.21,11.99%,,,,,,,,
Amherst,06/17/2020,93,229.64,1564,3861.93,5.95%,,,,,,,,
Andover,06/17/2020,300,832.98,3052,8474.22,9.83%,,,,,,,,
Aquinnah,06/17/2020,<5,*,25,9429.34,*,,,,,,,,
Arlington,06/17/2020,304,663.63,3241,7075.04,9.38%,,,,,,,,
Ashburnham,06/17/2020,32,509.56,443,7054.25,7.22%,,,,,,,,
